oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18aasnisf,Ceph,4.8733144,ASASSN,20,20,0.15900897979736328,4.872860827718328
ZTF17aabwqhv,Ceph,4.39124,CRTSnorth,20,20,0.1410081386566162,4.393504837132595
ZTF18abayiew,Ceph,3.3024,ASASSN,20,20,0.14000821113586426,3.3024671538189097
ZTF18achypyv,Ceph,33.8249,CRTSnorth,20,20,0.14400815963745117,16.90052738172483
ZTF17aabpjhw,Ceph,0.8200492,ASASSN,20,20,0.14300823211669922,0.8200458552622234
ZTF17aabutnm,Ceph,8.1926797,ASASSN,20,20,0.14200806617736816,8.198514772979385
ZTF18acvdnhl,Ceph,1.3613017,ASASSN,20,20,0.14600825309753418,1.361247538988983
ZTF18aaveqhe,Ceph,63.0362388,ASASSN,20,20,0.14200806617736816,31.334903994809597
ZTF18abdqbbq,Ceph,1.08175,CRTSnorth,20,20,0.14300799369812012,0.4991523294379971
ZTF19aadaesf,Ceph,38.453804,CRTSnorth,20,20,0.1410081386566162,38.21642022979041
ZTF18aagrijw,Ceph,1.242407,LINEAR,20,20,0.14400839805603027,0.553252019632429
ZTF18acduxsw,Ceph,3.13871,ASASSN,20,20,0.14200806617736816,3.138565956595879
ZTF18acpvmjm,Ceph,1.4580462,ASASSN,20,20,0.1410081386566162,3.1541474350892647
ZTF19acelhxy,Ceph,3.7992568,ASASSN,20,20,0.14200806617736816,0.7919609837503636
ZTF17aaadyzd,Ceph,4.5607572,ASASSN,20,20,0.14300799369812012,4.561301114703953
ZTF17aabumnd,Ceph,1.4952694,CRTSnorth,20,20,0.14200830459594727,1.4955889421286228
ZTF17aaattgz,Ceph,4.4102151,ASASSN,20,20,0.14300823211669922,4.412670391232723
ZTF18aaxmrja,Ceph,2.44832,CRTSnorth,20,20,0.14300799369812012,2.448501962070874
ZTF18acvvybk,Ceph,2.07244,CRTSnorth,20,20,0.14200806617736816,2.0724184160778414
ZTF17aaarsuk,Ceph,4.5607572,ASASSN,20,20,0.14300799369812012,0.8183590541016759
ZTF18abgpbkr,Ceph,3.7555038,ASASSN,20,20,0.14200806617736816,3.7550033291062017
ZTF18abadigg,Ceph,1.76708,CRTSnorth,20,20,0.14300799369812012,1.7665803638724598
ZTF17aabuwok,Ceph,3.52189,ASASSN,20,20,0.1540088653564453,3.5216111445392104
ZTF18aaxddfx,Ceph,10.62586,ASASSN,20,20,0.15300846099853516,10.628943218720572
ZTF17aadpxct,Ceph,1.2226,ASASSN,20,20,0.14300823211669922,1.2224532352330444
ZTF17aaanoqn,Ceph,5.1462459,ASASSN,20,20,0.15100884437561035,5.151038859586625
